loan_amnt,emp_length,home_ownership,annual_inc,addr_state
32000,3 years,MORTGAGE,120000,TX
12000,5 years,RENT,81500,NY
28000,1 year,MORTGAGE,128000,CA
22250,3 years,RENT,95000,CA
35000,8 years,MORTGAGE,110000,TX
4500,5 years,RENT,60000,NY
1000,10+ years,RENT,56000,CA
20400,7 years,RENT,61173,VA
35000,10+ years,MORTGAGE,75000,MO
21500,5 years,RENT,65000,CA
9200,6 years,RENT,46572,NY
35000,4 years,MORTGAGE,74000,TX
6000,4 years,RENT,24000,NJ
27000,4 years,MORTGAGE,86000,WI
11000,4 years,MORTGAGE,80000,SC
35000,10+ years,MORTGAGE,124500,NV
12000,10+ years,MORTGAGE,60000,MI
19200,4 years,MORTGAGE,135000,OK
4350,< 1 year,RENT,50000,AZ
7800,n/a,OWN,50000,NY
10000,1 year,RENT,72000,NY
18000,10+ years,MORTGAGE,60000,CA
27000,10+ years,RENT,73992,CA
8500,2 years,RENT,27000,NJ
7200,8 years,RENT,18200,CA
35000,10+ years,MORTGAGE,144000,IL
9000,10+ years,MORTGAGE,64000,MN
15250,3 years,RENT,30000,CA
24925,8 years,MORTGAGE,45000,PA
20000,2 years,MORTGAGE,180000,NJ
5000,7 years,MORTGAGE,42000,TX
6000,4 years,MORTGAGE,92259,NJ
3825,3 years,RENT,85000,CA
5000,4 years,RENT,39000,NY
25000,10+ years,RENT,80000,CA
1000,2 years,MORTGAGE,115000,OH
8000,3 years,OWN,150000,LA
20000,5 years,MORTGAGE,51000,NH
10175,3 years,RENT,158000,CA
5000,3 years,RENT,30000,WA
15000,4 years,RENT,40000,AZ
14000,2 years,MORTGAGE,125000,TX
7600,2 years,RENT,48000,AZ
4000,< 1 year,RENT,42000,OH
5600,5 years,OWN,27000,GA
2500,10+ years,MORTGAGE,60000,NY
30000,8 years,MORTGAGE,80004,MA
6750,1 year,MORTGAGE,60000,VA
6000,8 years,MORTGAGE,58000,AL
9000,10+ years,MORTGAGE,35000,NC
6200,4 years,RENT,56000,TX
35000,3 years,MORTGAGE,170000,OH
3700,n/a,RENT,48000,MA
2000,8 years,OWN,56000,NY
5000,7 years,RENT,29162.92,PA
13000,5 years,MORTGAGE,102000,SC
6000,7 years,MORTGAGE,100000,NJ
35000,1 year,MORTGAGE,190000,CA
20000,10+ years,MORTGAGE,63000,IL
35000,10+ years,MORTGAGE,97000,NJ
6000,1 year,RENT,51000,MN
2500,< 1 year,RENT,119004,CA
18000,5 years,RENT,103000,NC
24000,< 1 year,MORTGAGE,85000,VA
25000,7 years,MORTGAGE,88000,TX
30000,10+ years,MORTGAGE,200000,CA
4200,10+ years,OWN,35000,MN
8600,6 years,MORTGAGE,42100,FL
3200,3 years,OWN,50000,TX
14600,6 years,RENT,61200,CA
4600,< 1 year,RENT,30000,GA
6225,2 years,RENT,63250,AK
35000,3 years,RENT,165000,NY
10000,5 years,RENT,42000,NY
20000,10+ years,MORTGAGE,117000,GA
20000,7 years,RENT,65004,MA
25600,10+ years,MORTGAGE,192000,MO
16800,1 year,MORTGAGE,115000,MN
15000,8 years,MORTGAGE,88712,CA
20000,5 years,RENT,162000,CA
20000,4 years,MORTGAGE,120000,GA
10000,10+ years,RENT,35000,CO
14000,3 years,RENT,90000,CA
4800,< 1 year,RENT,33600,DC
20000,4 years,MORTGAGE,45000,CA
8000,4 years,MORTGAGE,100000,NY
25000,< 1 year,MORTGAGE,102000,CA
16000,2 years,RENT,96000,CA
12000,3 years,MORTGAGE,77000,OH
3000,10+ years,MORTGAGE,110400,IL
15000,2 years,RENT,50004,PA
7500,8 years,RENT,30000,CA
4800,1 year,RENT,29534,CA
15000,10+ years,RENT,121000,CA
10000,2 years,RENT,60000,CA
1850,< 1 year,RENT,42000,TX
30000,10+ years,RENT,165000,TX
6625,10+ years,MORTGAGE,40269,FL
6000,5 years,MORTGAGE,32000,NC
15000,10+ years,MORTGAGE,48000,AL
8000,< 1 year,RENT,75000,CA
35000,3 years,RENT,98000,CA
20000,10+ years,MORTGAGE,60000,OR
3000,10+ years,MORTGAGE,52800,NV
6400,10+ years,RENT,33000,MA
19000,10+ years,MORTGAGE,75000,CA
33950,n/a,MORTGAGE,50000,FL
8000,3 years,MORTGAGE,102500,CO
7000,2 years,MORTGAGE,65000,CA
10000,7 years,MORTGAGE,100008,PA
12000,10+ years,MORTGAGE,71000,MO
7000,2 years,RENT,52000,CA
3000,10+ years,RENT,42000,OR
25975,5 years,MORTGAGE,80000,CO
2400,1 year,RENT,50000,CA
4600,6 years,RENT,50000,MD
6000,2 years,MORTGAGE,72000,WI
14400,1 year,RENT,74000,WA
6000,1 year,RENT,24000,WI
9800,3 years,MORTGAGE,80000,AL
13250,10+ years,MORTGAGE,36000,FL
17000,< 1 year,RENT,83500,CA
2400,< 1 year,OWN,19200,CA
12000,5 years,MORTGAGE,108000,CT
30000,4 years,MORTGAGE,124000,CO
6000,4 years,OWN,50460.8,CA
17850,1 year,MORTGAGE,100280,FL
13500,3 years,MORTGAGE,66000,CA
14000,10+ years,MORTGAGE,72000,PA
25000,10+ years,MORTGAGE,150000,PA
5600,3 years,RENT,35000,NJ
4000,6 years,RENT,28550,FL
12000,2 years,MORTGAGE,78000,IL
25000,10+ years,MORTGAGE,69000,NY
17875,10+ years,OWN,30000,FL
20000,6 years,RENT,85000,NH
18000,< 1 year,RENT,66000,CO
3000,10+ years,MORTGAGE,110000,FL
2500,4 years,MORTGAGE,110000,IL
22000,< 1 year,MORTGAGE,84400,TX
12000,8 years,MORTGAGE,198000,NJ
30000,10+ years,MORTGAGE,129000,KY
30000,5 years,MORTGAGE,150000,GA
6000,10+ years,MORTGAGE,75000,NV
10000,3 years,MORTGAGE,65000,FL
8300,10+ years,RENT,45020,CA
19000,6 years,MORTGAGE,73000,MA
25000,4 years,RENT,58295,PA
25000,< 1 year,MORTGAGE,108000,WA
18000,8 years,MORTGAGE,150000,CA
15000,4 years,RENT,70000,NJ
18000,8 years,MORTGAGE,71991,CA
14000,10+ years,MORTGAGE,42000,AZ
7800,4 years,OWN,120000,NY
21000,10+ years,RENT,55200,CA
2400,6 years,MORTGAGE,55000,PA
4000,10+ years,RENT,50582,NY
12000,9 years,MORTGAGE,77000,MO
12000,6 years,RENT,77000,NY
18000,10+ years,MORTGAGE,123504,UT
14000,4 years,RENT,80000,CA
15000,6 years,RENT,87000,KY
10500,4 years,OWN,40000,MN
12000,4 years,MORTGAGE,74000,GA
8000,1 year,MORTGAGE,60000,MN
20000,10+ years,MORTGAGE,175000,NJ
15000,7 years,OWN,48000,AK
1500,< 1 year,RENT,14400,NC
8400,6 years,MORTGAGE,60000,CA
7500,2 years,RENT,47500,TX
35000,10+ years,MORTGAGE,105000,MN
1600,9 years,RENT,40000,VA
12000,7 years,MORTGAGE,75000,NV
13200,6 years,RENT,36000,KY
16950,< 1 year,MORTGAGE,45000,LA
6600,9 years,RENT,101877,NJ
14000,2 years,RENT,62400,CA
13000,2 years,RENT,40000,NJ
12000,10+ years,MORTGAGE,55000,CA
2400,n/a,OWN,10800,PA
20000,10+ years,MORTGAGE,84000,CO
8150,3 years,RENT,35004,IL
28100,10+ years,RENT,55000,HI
28000,4 years,MORTGAGE,111000,UT
7200,5 years,OWN,25000,FL
20000,10+ years,MORTGAGE,125000,TX
5000,1 year,RENT,34800,DC
28000,2 years,MORTGAGE,252000,OH
21000,10+ years,MORTGAGE,90000,OH
4200,2 years,RENT,65000,CA
10000,4 years,MORTGAGE,108000,FL
5900,8 years,MORTGAGE,77040,CT
15000,4 years,RENT,100000,NJ
16000,2 years,RENT,55000,CO
22000,< 1 year,MORTGAGE,160000,GA
12000,4 years,MORTGAGE,71000,TX
13000,10+ years,RENT,75000,NY
10000,10+ years,MORTGAGE,59000,NY
12000,5 years,RENT,40000,FL
12000,10+ years,OWN,40584,WV
1700,10+ years,MORTGAGE,63000,MA
12900,8 years,MORTGAGE,52800,LA
12000,2 years,RENT,54000,CA
3000,5 years,RENT,85000,CA
5600,3 years,RENT,54000,WA
3375,5 years,MORTGAGE,101000,NV
5000,< 1 year,RENT,24996,NV
20000,5 years,MORTGAGE,178650,CA
17000,4 years,RENT,61000,MI
15000,1 year,MORTGAGE,39000,MN
13000,6 years,RENT,42000,CT
12000,10+ years,MORTGAGE,53000,FL
5000,10+ years,MORTGAGE,58560,MI
4800,10+ years,MORTGAGE,92000,CA
15000,10+ years,MORTGAGE,65000,NH
32000,7 years,RENT,52500,CA
6000,< 1 year,RENT,18720,MI
15000,5 years,MORTGAGE,132000,CA
12000,3 years,RENT,41548.8,CA
14000,10+ years,RENT,40000,OR
15000,< 1 year,MORTGAGE,67200,TX
13000,10+ years,MORTGAGE,80000,FL
35000,5 years,MORTGAGE,71516,NV
35000,10+ years,MORTGAGE,113328,FL
14125,10+ years,MORTGAGE,78000,NY
7550,3 years,RENT,20400,CT
17000,9 years,RENT,170000,CA
35000,4 years,MORTGAGE,275000,MD
9200,4 years,OWN,40000,OK
1500,3 years,RENT,42769,OR
14400,2 years,RENT,76422,VA
16750,10+ years,OWN,72000,CA
13500,10+ years,OWN,114000,CA
2000,n/a,OWN,40000,MD
18000,10+ years,MORTGAGE,175000,CA
25475,n/a,RENT,63000,OH
18000,3 years,MORTGAGE,350000,MA
2500,10+ years,OWN,48000,NY
16800,< 1 year,MORTGAGE,120000,OR
9600,< 1 year,RENT,28800,SC
26500,10+ years,MORTGAGE,80000,MA
30000,8 years,MORTGAGE,82000,AR
5000,4 years,OWN,37560,LA
13250,6 years,RENT,34000,IL
10400,10+ years,OWN,93000,NC
4500,3 years,OWN,24000,AR
16000,10+ years,MORTGAGE,65000,GA
5000,3 years,MORTGAGE,165000,CT
12000,10+ years,RENT,40000,WI
28000,1 year,MORTGAGE,160000,TX
12000,10+ years,OWN,87600,NY
6000,7 years,RENT,65000,IL
14000,< 1 year,RENT,70000,CA
25000,10+ years,MORTGAGE,160000,CA
8000,3 years,MORTGAGE,65000,MA
24000,10+ years,OWN,70000,PA
6000,10+ years,MORTGAGE,61000,SC
6000,1 year,RENT,89700,CA
4100,3 years,RENT,60000,FL
35000,4 years,MORTGAGE,55000,OH
18000,< 1 year,MORTGAGE,60000,NC
20000,10+ years,MORTGAGE,90000,KY
28000,3 years,MORTGAGE,75000,GA
15000,4 years,OWN,40000,IL
15000,4 years,MORTGAGE,54000,NY
16000,10+ years,OWN,55000,IL
14000,< 1 year,RENT,88000,NY
12000,10+ years,MORTGAGE,100000,NY
19750,6 years,OWN,51000,TX
4000,< 1 year,RENT,51000,PA
4000,4 years,RENT,31150,FL
6000,3 years,RENT,67644,GA
14500,10+ years,MORTGAGE,120000,OH
17850,10+ years,MORTGAGE,58800,NJ
25000,5 years,MORTGAGE,136000,FL
10000,10+ years,OWN,48000,CA
20000,5 years,MORTGAGE,104400,AZ
16800,10+ years,MORTGAGE,54996,WI
10400,2 years,MORTGAGE,48000,SC
13600,7 years,MORTGAGE,55000,GA
3900,8 years,MORTGAGE,52000,WA
15000,5 years,MORTGAGE,98000,CA
14000,2 years,RENT,65000,CA
16000,10+ years,MORTGAGE,38000,NC
18250,5 years,MORTGAGE,40800,MN
30000,8 years,RENT,80690,NY
21000,2 years,RENT,112000,PA
25000,10+ years,MORTGAGE,97000,AL
10000,8 years,MORTGAGE,91000,SC
20000,< 1 year,RENT,52008,VA
15000,10+ years,MORTGAGE,54000,FL
2000,5 years,MORTGAGE,50000,AR
22000,10+ years,MORTGAGE,41000,NJ
5600,1 year,RENT,93600,CA
6100,3 years,MORTGAGE,33276,AZ
3000,2 years,RENT,37440,GA
3200,6 years,RENT,30000,PA
12000,2 years,MORTGAGE,87547.44,CA
8000,8 years,MORTGAGE,33696,SC
10000,1 year,RENT,50000,CO
16800,4 years,MORTGAGE,38269.33,KY
13000,10+ years,MORTGAGE,34000,OH
13250,10+ years,MORTGAGE,52000,NH
35000,6 years,MORTGAGE,165000,CA
4800,1 year,MORTGAGE,96000,MD
15000,2 years,MORTGAGE,127500,TX
3600,5 years,RENT,55000,LA
6000,10+ years,MORTGAGE,100860,NJ
17600,< 1 year,RENT,43200,CA
4800,10+ years,RENT,41504.4,CA
15000,2 years,MORTGAGE,71500,MN
35000,2 years,OWN,108000,CO
18000,4 years,RENT,100000,CA
14000,4 years,MORTGAGE,249996,CT
5000,7 years,RENT,75000,TX
6000,3 years,MORTGAGE,120000,NJ
7500,10+ years,MORTGAGE,85000,MO
15000,5 years,RENT,65000,NY
13200,2 years,RENT,40000,NY
9600,1 year,MORTGAGE,300000,NJ
24000,9 years,RENT,66143.38,MA
3200,< 1 year,RENT,12000,KY
13700,7 years,MORTGAGE,78804,AR
5600,n/a,RENT,36000,NY
22750,10+ years,MORTGAGE,45000,OH
10000,7 years,MORTGAGE,200000,MA
12000,2 years,RENT,47700,CA
15000,7 years,RENT,60000,NY
5000,2 years,MORTGAGE,99996,NJ
12000,1 year,RENT,60000,CT
20000,n/a,MORTGAGE,73000,IL
20000,2 years,RENT,62208,CA
11200,5 years,MORTGAGE,110004,TX
7200,< 1 year,RENT,35004,NV
12000,4 years,RENT,65000,LA
12000,9 years,RENT,88500,NC
35000,5 years,RENT,65000,TX
4200,8 years,MORTGAGE,30873.6,OK
12000,1 year,RENT,40000,CA
9000,7 years,MORTGAGE,48800,AZ
18000,7 years,RENT,81000,CA
35000,10+ years,MORTGAGE,149000,TX
8000,6 years,MORTGAGE,79985,IL
25000,10+ years,MORTGAGE,320000,FL
12000,10+ years,MORTGAGE,150000,OH
16000,n/a,MORTGAGE,60000,TX
18000,3 years,OWN,80000,MD
21000,1 year,RENT,112511.52,TX
35000,10+ years,MORTGAGE,85000,NY
8000,10+ years,OWN,36000,NY
21600,4 years,RENT,72000,KS
20000,10+ years,OWN,54000,NC
20000,10+ years,MORTGAGE,64000,AZ
14000,8 years,RENT,35000,MO
14400,10+ years,OWN,50000,KS
2000,10+ years,MORTGAGE,38400,PA
18000,5 years,MORTGAGE,156000,OH
35000,10+ years,MORTGAGE,74000,FL
15000,10+ years,MORTGAGE,120000,FL
12300,5 years,MORTGAGE,75000,WA
35000,6 years,MORTGAGE,54000,CA
6500,10+ years,OWN,57600,NJ
12800,6 years,MORTGAGE,65000,OR
35000,10+ years,MORTGAGE,300000,MI
6000,10+ years,OWN,51000,MD
10000,10+ years,RENT,45000,RI
7000,2 years,RENT,24000,CA
25000,2 years,MORTGAGE,105600,CA
2800,< 1 year,RENT,33250,TX
7500,10+ years,RENT,51000,FL
15000,5 years,MORTGAGE,75000,CA
25000,6 years,MORTGAGE,55000,IL
1500,6 years,RENT,33600,VT
8000,4 years,RENT,65004,CA
7600,2 years,MORTGAGE,95004,WA
12000,6 years,MORTGAGE,65000,GA
18000,6 years,MORTGAGE,185000,NJ
20050,< 1 year,MORTGAGE,63000,TX
7000,1 year,RENT,200000,NY
11800,7 years,MORTGAGE,126000,VA
17800,4 years,MORTGAGE,95000,GA
15000,4 years,RENT,40000,IL
3300,6 years,MORTGAGE,52000,KY
4800,6 years,OWN,55000,NY
12000,2 years,MORTGAGE,60000,CA
6500,10+ years,MORTGAGE,99518.42,NC
6175,10+ years,MORTGAGE,50880,MO
18000,5 years,RENT,139500,CA
6000,6 years,RENT,56000,NY
9000,1 year,OWN,22800,NJ
13200,7 years,OWN,75000,NY
6000,5 years,RENT,60000,CA
7000,10+ years,MORTGAGE,70000,OK
6500,1 year,RENT,20000,FL
32000,10+ years,RENT,148500,NY
5000,10+ years,MORTGAGE,119004,FL
12000,1 year,RENT,45176,TX
5000,3 years,RENT,42000,NJ
26400,4 years,MORTGAGE,68000,FL
8800,10+ years,RENT,37824,CA
14000,3 years,RENT,85000,WA
12000,10+ years,RENT,36000,VT
30800,3 years,RENT,70000,CA
24000,10+ years,MORTGAGE,89000,KY
30000,10+ years,MORTGAGE,77800,MO
16000,10+ years,MORTGAGE,82000,NY
35000,4 years,MORTGAGE,70000,TX
10000,1 year,OWN,60000,IL
30000,4 years,MORTGAGE,150000,GA
10000,10+ years,RENT,38400,CA
11200,10+ years,MORTGAGE,56900,GA
13600,10+ years,MORTGAGE,75000,SC
13800,4 years,MORTGAGE,75000,CA
8000,n/a,RENT,50000,WI
10500,10+ years,MORTGAGE,155004,SC
16200,7 years,RENT,38000,OH
25000,6 years,MORTGAGE,150000,TX
1600,< 1 year,RENT,40000,FL
4200,6 years,MORTGAGE,70000,NC
14400,< 1 year,MORTGAGE,135000,NY
2500,3 years,RENT,64000,IL
26000,10+ years,MORTGAGE,127992,TX
15575,< 1 year,RENT,70000,NC
15000,10+ years,MORTGAGE,95000,MI
12000,< 1 year,MORTGAGE,95000,CA
5000,3 years,MORTGAGE,72000,FL
24000,10+ years,MORTGAGE,124992,CA
19000,8 years,MORTGAGE,62000,FL
8000,2 years,RENT,20400,OH
4000,2 years,RENT,45000,NY
10000,10+ years,RENT,60000,MA
35000,10+ years,OWN,130000,NJ
10000,3 years,RENT,50000,CA
18250,7 years,MORTGAGE,39600,TX
21000,6 years,RENT,78000,CA
14400,10+ years,MORTGAGE,48000,MI
18000,5 years,RENT,36000,FL
1550,n/a,MORTGAGE,26400,AL
21125,< 1 year,MORTGAGE,62400,CO
12000,10+ years,MORTGAGE,50000,NC
18400,10+ years,RENT,93000,NY
14400,4 years,RENT,85000,CA
6800,< 1 year,RENT,77500,CA
10200,n/a,RENT,36000,FL
16000,5 years,RENT,80000,NY
30000,2 years,MORTGAGE,90000,WI
18400,2 years,RENT,50000,CA
7000,< 1 year,RENT,60000,CA
15000,3 years,RENT,75531,MA
8000,< 1 year,MORTGAGE,22000,MI
18000,6 years,MORTGAGE,114000,GA
15000,< 1 year,MORTGAGE,69000,MA
7000,1 year,MORTGAGE,65000,NJ
14000,10+ years,MORTGAGE,150000,VA
5500,3 years,RENT,31550.07,CA
15000,10+ years,MORTGAGE,215000,FL
4800,1 year,MORTGAGE,52800,CA
8000,< 1 year,RENT,24000,TX
25450,3 years,RENT,53000,NC
3600,2 years,RENT,36000,MO
5000,3 years,RENT,70000,TX
21000,8 years,MORTGAGE,60000,GA
3000,1 year,OWN,28000,MO
12000,5 years,RENT,120000,CA
2000,< 1 year,RENT,50000,GA
5000,10+ years,MORTGAGE,45000,TX
8000,10+ years,RENT,30000,NY
7000,3 years,RENT,52000,MN
6750,4 years,RENT,41000,VT
22000,7 years,RENT,148000,IL
14400,10+ years,MORTGAGE,50400,SC
7000,10+ years,OWN,75000,CA
20000,n/a,OWN,38880,FL
18000,3 years,OWN,45000,CA
13250,10+ years,MORTGAGE,55000,OR
9000,6 years,MORTGAGE,57000,CA
13800,8 years,RENT,50000,NY
14000,10+ years,RENT,148000,CA
5000,10+ years,MORTGAGE,45000,LA
20000,10+ years,MORTGAGE,65600,FL
13800,10+ years,MORTGAGE,62000,SC
10000,10+ years,MORTGAGE,85000,SC
7500,n/a,OWN,40000,TX
2000,4 years,MORTGAGE,51000,FL
3200,3 years,MORTGAGE,31200,MN
16000,2 years,RENT,95000,MD
22000,5 years,RENT,94500,TX
8000,8 years,MORTGAGE,33600,PA
13000,6 years,RENT,59000,NY
6925,7 years,MORTGAGE,27040,IL
12000,5 years,MORTGAGE,50000,MI
2500,3 years,RENT,43000,WI
35000,3 years,RENT,150000,NJ
10000,10+ years,MORTGAGE,120000,NJ
4800,1 year,OWN,65000,GA
3000,n/a,RENT,38400,WA
12000,< 1 year,MORTGAGE,70000,TX
30000,10+ years,MORTGAGE,108000,OH
8000,4 years,RENT,55000,FL
30000,9 years,MORTGAGE,80000,CA
35000,3 years,MORTGAGE,98000,CO
9000,10+ years,MORTGAGE,60000,NY
13000,7 years,RENT,43000,WI
7200,8 years,MORTGAGE,95000,AZ
11000,9 years,MORTGAGE,68000,NH
1000,n/a,MORTGAGE,100000,CA
14750,5 years,RENT,62100,NY
14400,2 years,MORTGAGE,60000,CO
14000,10+ years,RENT,68000,CA
4100,10+ years,OWN,60000,MO
5000,10+ years,MORTGAGE,90000,CA
5100,8 years,OWN,60000,OH
7200,6 years,RENT,50000,IL
10000,2 years,MORTGAGE,80000,AK
35000,10+ years,MORTGAGE,120000,NJ
10000,6 years,MORTGAGE,99996,NJ
7000,3 years,MORTGAGE,51996,NC
25000,5 years,MORTGAGE,99600,MD
6000,10+ years,MORTGAGE,77000,NY
20000,7 years,MORTGAGE,70000,NH
7600,2 years,RENT,36000,NY
2500,8 years,MORTGAGE,32500,IL
25000,n/a,MORTGAGE,50000,SD
10000,4 years,RENT,38000,NJ
9500,1 year,RENT,28000,VA
15000,4 years,RENT,50000,UT
25000,7 years,RENT,150000,CA
1500,3 years,MORTGAGE,65004,KY
21000,10+ years,RENT,160000,NY
20000,5 years,MORTGAGE,198204,CA
25000,10+ years,MORTGAGE,78000,CT
5400,3 years,MORTGAGE,50000,FL
9000,2 years,RENT,39359,NY
13500,10+ years,RENT,32000,DC
13000,< 1 year,MORTGAGE,30000,PA
23600,5 years,MORTGAGE,68004,IL
10000,10+ years,MORTGAGE,67000,NV
5000,3 years,RENT,73500,VA
35000,7 years,MORTGAGE,104000,CA
2000,3 years,RENT,50400,NY
16000,6 years,RENT,67000,NY
15000,8 years,MORTGAGE,102000,TX
7125,4 years,MORTGAGE,75000,CA
35000,10+ years,MORTGAGE,110000,MI
6000,5 years,RENT,84000,NV
7000,2 years,RENT,85000,CA
6500,5 years,MORTGAGE,129996,OR
5000,2 years,RENT,64000,DE
20000,2 years,RENT,32000,NY
20000,10+ years,RENT,74600,MA
22000,3 years,RENT,74064,CA
14300,10+ years,MORTGAGE,58500,OH
5600,2 years,RENT,40000,MD
3000,< 1 year,RENT,65000,NY
5000,10+ years,RENT,65000,PA
18000,7 years,RENT,54996,NY
6000,2 years,RENT,69000,TX
7000,10+ years,OWN,60000,NJ
21000,2 years,RENT,73500,CA
17000,1 year,MORTGAGE,53200,FL
5000,< 1 year,RENT,72000,CA
10500,6 years,RENT,38400,VA
10000,n/a,RENT,60000,CA
11000,6 years,RENT,45000,CA
4400,7 years,OWN,26496,AR
6900,2 years,MORTGAGE,60000,FL
2000,10+ years,MORTGAGE,98000,TX
4800,4 years,RENT,19200,MN
6000,< 1 year,RENT,100000,CA
10700,1 year,RENT,50000,WA
1500,< 1 year,RENT,80000,VA
7000,1 year,OWN,19200,MA
29175,1 year,MORTGAGE,93000,MI
12800,6 years,RENT,52992,MA
28000,10+ years,MORTGAGE,200000,AZ
5000,5 years,RENT,58000,CA
20000,2 years,RENT,90000,TX
24000,4 years,RENT,90000,PA
28000,10+ years,RENT,72000,HI
5000,8 years,RENT,72000,CA
8000,3 years,RENT,57750,NC
6000,2 years,RENT,55000,NJ
6000,7 years,MORTGAGE,43000,VA
5000,8 years,MORTGAGE,101000,MO
19000,6 years,OWN,49000,NY
12000,10+ years,OWN,38000,GA
2400,4 years,RENT,95000,NY
6000,3 years,OWN,50000,OH
10000,10+ years,MORTGAGE,60000,MO
12000,3 years,RENT,175000,CA
6400,5 years,RENT,75000,NY
10000,4 years,RENT,38004,NY
13600,4 years,MORTGAGE,56000,MO
25000,3 years,OWN,66000,TX
25000,4 years,MORTGAGE,43000,AZ
15000,4 years,RENT,120000,CA
4000,1 year,RENT,30000,CA
30225,n/a,MORTGAGE,54000,WV
5000,7 years,RENT,63800,VA
8325,2 years,OWN,27000,NJ
8000,5 years,MORTGAGE,65000,VA
6000,6 years,MORTGAGE,42996,SC
15000,1 year,MORTGAGE,65000,CO
15600,< 1 year,MORTGAGE,56964,NV
10000,6 years,MORTGAGE,45000,FL
12000,< 1 year,RENT,53000,MD
19200,10+ years,RENT,65000,CA
2800,< 1 year,RENT,40000,TX
9000,3 years,RENT,48000,CA
29000,8 years,MORTGAGE,115000,TX
3500,n/a,RENT,27600,NY
3500,3 years,RENT,24240,AZ
31825,10+ years,MORTGAGE,60000,FL
10000,2 years,RENT,39996,MD
15000,10+ years,MORTGAGE,63996,NY
3300,< 1 year,OWN,41196,FL
6000,2 years,RENT,65000,CA
30000,10+ years,MORTGAGE,69500,TX
25000,4 years,RENT,50000,CT
8450,3 years,MORTGAGE,55000,AZ
10000,7 years,RENT,24000,WA
21000,8 years,MORTGAGE,113000,IL
20000,< 1 year,MORTGAGE,45000,IL
3750,10+ years,MORTGAGE,480000,RI
16000,2 years,RENT,82000,CA
35000,2 years,RENT,93500,CA
23000,10+ years,MORTGAGE,65000,OH
12000,2 years,MORTGAGE,44000,CA
2100,3 years,RENT,39000,TX
2400,1 year,MORTGAGE,40000,UT
16000,10+ years,MORTGAGE,75000,NY
5000,n/a,OWN,62236,TX
2200,10+ years,RENT,52416,CA
10000,5 years,MORTGAGE,110000,CT
20000,6 years,MORTGAGE,30000,MI
7200,10+ years,MORTGAGE,120000,CT
6000,10+ years,MORTGAGE,66000,PA
15000,7 years,MORTGAGE,78000,FL
14000,< 1 year,MORTGAGE,76000,TX
13200,6 years,RENT,70000,CA
12000,10+ years,RENT,84000,CA
7500,4 years,RENT,50400,CA
29000,10+ years,MORTGAGE,150000,CO
31000,1 year,RENT,105500,CA
2000,3 years,MORTGAGE,60000,PA
24000,10+ years,RENT,60000,OR
10000,5 years,OWN,38400,OK
10000,1 year,RENT,64200,NY
4000,< 1 year,RENT,86400,NY
11500,7 years,RENT,79000,NY
28000,3 years,RENT,75996,NJ
24000,10+ years,MORTGAGE,115000,OR
10400,n/a,RENT,20688,CA
8000,4 years,RENT,72780,GA
8000,6 years,MORTGAGE,75000,MA
29600,n/a,RENT,110000,CA
7500,< 1 year,RENT,68000,NC
6425,10+ years,OWN,38000,OH
6000,2 years,MORTGAGE,200000,MO
12000,< 1 year,RENT,102000,CA
12000,10+ years,RENT,86400,CA
20000,7 years,OWN,55000,MA
9000,4 years,RENT,42000,NC
13250,1 year,RENT,38400,CA
10000,< 1 year,MORTGAGE,285000,MD
10000,< 1 year,RENT,45500,HI
2000,2 years,RENT,39000,IL
5000,2 years,RENT,52000,CA
27575,2 years,MORTGAGE,80500,SC
24000,5 years,MORTGAGE,103000,MO
20000,10+ years,MORTGAGE,60000,PA
25000,2 years,MORTGAGE,130000,AR
2000,< 1 year,RENT,22800,SD
12000,10+ years,RENT,45000,NY
17200,2 years,RENT,44000,CO
14550,9 years,MORTGAGE,58000,HI
12000,10+ years,OWN,67000,GA
2000,3 years,MORTGAGE,56000,FL
14400,3 years,MORTGAGE,62000,NC
10000,4 years,RENT,42000,FL
20000,10+ years,MORTGAGE,70000,CO
13000,8 years,MORTGAGE,85000,AL
5000,n/a,MORTGAGE,54000,MI
19200,4 years,RENT,90000,NY
2500,4 years,RENT,21600,MI
12000,9 years,MORTGAGE,165500,MN
2800,< 1 year,RENT,10560,CA
11000,6 years,RENT,100000,TX
12000,10+ years,MORTGAGE,82000,NY
20000,< 1 year,MORTGAGE,65000,TX
20000,7 years,RENT,42224,OR
28000,10+ years,MORTGAGE,135000,CA
10000,3 years,OWN,97333,VA
4000,4 years,RENT,58800,CA
6000,10+ years,OWN,47820,NC
3800,1 year,OWN,15523,TX
20000,7 years,RENT,46800,OH
15000,5 years,MORTGAGE,190300,TX
6000,10+ years,MORTGAGE,45000,WA
6000,1 year,MORTGAGE,36396,OH
35000,3 years,MORTGAGE,122880,NJ
10000,3 years,MORTGAGE,35000,MO
35000,5 years,RENT,90000,NY
30000,< 1 year,MORTGAGE,68496,AZ
12800,10+ years,RENT,36000,TX
12000,1 year,RENT,65000,MD
35000,8 years,MORTGAGE,125000,GA
15000,5 years,OWN,55000,OH
4650,10+ years,MORTGAGE,85000,NY
1500,4 years,MORTGAGE,60000,MO
15000,10+ years,MORTGAGE,65000,KY
4200,< 1 year,RENT,21600,IL
12000,4 years,RENT,47160,CT
6000,4 years,MORTGAGE,145000,NJ
10800,4 years,RENT,77280,FL
4000,1 year,MORTGAGE,66000,LA
